DATE,Median Income,State
2008-01-01,67283,wyoming
2009-01-01,66420,wyoming
2010-01-01,65007,wyoming
2011-01-01,65807,wyoming
2012-01-01,67992,wyoming
2013-01-01,78566,wyoming
2014-01-01,63796,wyoming
2015-01-01,69673,wyoming
2016-01-01,65291,wyoming
2017-01-01,65803,wyoming
2018-01-01,67477,wyoming
2019-01-01,69027,wyoming
2000-01-01,66107,georgia
2001-01-01,65313,georgia
2002-01-01,64847,georgia
2003-01-01,62668,georgia
2004-01-01,58928,georgia
2005-01-01,63871,georgia
2006-01-01,66469,georgia
2007-01-01,63716,georgia
2008-01-01,58314,georgia
2009-01-01,54862,georgia
2010-01-01,54940,georgia
2011-01-01,55501,georgia
2012-01-01,56890,georgia
2013-01-01,54744,georgia
2014-01-01,56768,georgia
2015-01-01,58058,georgia
2016-01-01,60434,georgia
2017-01-01,64089,georgia
2018-01-01,60229,georgia
2019-01-01,60012,georgia
2000-01-01,32777,montana
2001-01-01,32126,montana
2002-01-01,34835,montana
2003-01-01,34108,montana
2004-01-01,33956,montana
2005-01-01,37313,montana
2006-01-01,41105,montana
2007-01-01,43655,montana
2008-01-01,42900,montana
2009-01-01,40437,montana
2010-01-01,41280,montana
2011-01-01,40277,montana
2012-01-01,45088,montana
2013-01-01,43201,montana
2014-01-01,51102,montana
2015-01-01,51395,montana
2016-01-01,57075,montana
2017-01-01,57407,montana
2018-01-01,57679,montana
2019-01-01,60195,montana
2000-01-01,45758,nevada
2001-01-01,45403,nevada
2002-01-01,44958,nevada
2003-01-01,45184,nevada
2004-01-01,47204,nevada
2005-01-01,48209,nevada
2006-01-01,52282,nevada
2007-01-01,54058,nevada
2008-01-01,54744,nevada
2009-01-01,51434,nevada
2010-01-01,51200,nevada
2011-01-01,47043,nevada
2012-01-01,47333,nevada
2013-01-01,51846,nevada
2014-01-01,49875,nevada
2015-01-01,52008,nevada
2016-01-01,55431,nevada
2017-01-01,58041,nevada
2018-01-01,61864,nevada
2019-01-01,70906,nevada
2000-01-01,73862,california
2001-01-01,72501,california
2002-01-01,71640,california
2003-01-01,72801,california
2004-01-01,70773,california
2005-01-01,71977,california
2006-01-01,74518,california
2007-01-01,73007,california
2008-01-01,71921,california
2009-01-01,71058,california
2010-01-01,67600,california
2011-01-01,64428,california
2012-01-01,67410,california
2013-01-01,70823,california
2014-01-01,69292,california
2015-01-01,72774,california
2016-01-01,75235,california
2017-01-01,77410,california
2018-01-01,76055,california
2019-01-01,82772,california
2000-01-01,73762,massachusetts
2001-01-01,80157,massachusetts
2002-01-01,75292,massachusetts
2003-01-01,75244,massachusetts
2004-01-01,74795,massachusetts
2005-01-01,77904,massachusetts
2006-01-01,74533,massachusetts
2007-01-01,76582,massachusetts
2008-01-01,76091,massachusetts
2009-01-01,75158,massachusetts
2010-01-01,75882,massachusetts
2011-01-01,76435,massachusetts
2012-01-01,75256,massachusetts
2013-01-01,72844,massachusetts
2014-01-01,72344,massachusetts
2015-01-01,77605,massachusetts
2016-01-01,81591,massachusetts
2017-01-01,84269,massachusetts
2018-01-01,93163,massachusetts
2019-01-01,92949,massachusetts
2000-01-01,35424,alabama
2001-01-01,35160,alabama
2002-01-01,37603,alabama
2003-01-01,37255,alabama
2004-01-01,36629,alabama
2005-01-01,37150,alabama
2006-01-01,37952,alabama
2007-01-01,42212,alabama
2008-01-01,44476,alabama
2009-01-01,39980,alabama
2010-01-01,40933,alabama
2011-01-01,42590,alabama
2012-01-01,43464,alabama
2013-01-01,47320,alabama
2014-01-01,42278,alabama
2015-01-01,44509,alabama
2016-01-01,47221,alabama
2017-01-01,50865,alabama
2018-01-01,49936,alabama
2019-01-01,56200,alabama
2000-01-01,62766,arizona
2001-01-01,65509,arizona
2002-01-01,60007,arizona
2003-01-01,60789,arizona
2004-01-01,63043,arizona
2005-01-01,62924,arizona
2006-01-01,62850,arizona
2007-01-01,61848,arizona
2008-01-01,59180,arizona
2009-01-01,57899,arizona
2010-01-01,58400,arizona
2011-01-01,58698,arizona
2012-01-01,55616,arizona
2013-01-01,61290,arizona
2014-01-01,56424,arizona
2015-01-01,59751,arizona
2016-01-01,64468,arizona
2017-01-01,65984,arizona
2018-01-01,67201,arizona
2019-01-01,74897,arizona
2000-01-01,42525,washington
2001-01-01,42490,washington
2002-01-01,45183,washington
2003-01-01,47508,washington
2004-01-01,49922,washington
2005-01-01,50646,washington
2006-01-01,54723,washington
2007-01-01,58080,washington
2008-01-01,56631,washington
2009-01-01,60392,washington
2010-01-01,56163,washington
2011-01-01,56850,washington
2012-01-01,62187,washington
2013-01-01,63922,washington
2014-01-01,59068,washington
2015-01-01,67243,washington
2016-01-01,70310,washington
2017-01-01,71540,washington
2018-01-01,79726,washington
2019-01-01,82454,washington
2000-01-01,79156,connecticut
2001-01-01,81836,connecticut
2002-01-01,80626,connecticut
2003-01-01,81166,connecticut
2004-01-01,79225,connecticut
2005-01-01,79042,connecticut
2006-01-01,84062,connecticut
2007-01-01,84019,connecticut
2008-01-01,81594,connecticut
2009-01-01,82092,connecticut
2010-01-01,82189,connecticut
2011-01-01,78973,connecticut
2012-01-01,75954,connecticut
2013-01-01,80721,connecticut
2014-01-01,80374,connecticut
2015-01-01,83355,connecticut
2016-01-01,85720,connecticut
2017-01-01,82125,connecticut
2018-01-01,78561,connecticut
2019-01-01,92507,connecticut
2000-01-01,66574,rhodeisland
